見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
食の安全シンポジウム,テーマ：知ろう、学ぼう、食物アレルギー,,,3月1日（木）14:00～16:00 ,情報交流センターBig・U（田辺市）,,80人（先着順）,,,,郵送、電話、ファックス、Eメールで氏名、電話番号を2月26日（一時保育・手話通訳・要約筆記は2月13日）までに県庁食品・生活衛生課ファックス073-432-1952,,,,http://www.pref.wakayama.lg.jp/prefg/031600/communication/index.html,,e0316001@pref.wakayama.lg.jp,
見えない・見えにくい方のための「交流サロン」,,,,2月17日（土）13:30～15:30,県点字図書館（和歌山市）,見えない・見えにくい方とその家族、ボランティア,,,,,郵送、電話、ファックス、Eメールで住所、氏名、年齢、電話番号を会場〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛5階電話073-488-5721　ファックス073-488-5731,,,,http://washinren.jp/tenji/,,wakaten@wakaten.jp,
障害者福祉バス（4?9月）,在宅障害者の社会参加を促進するための障害者福祉バスの利用申込,,,,,障害者とその介護者を合わせた人数が10人以上の障害者の団体,20回分（抽選）,,,,郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を2月28日までに県子ども・女性・障害者相談センター 〒641-0014和歌山市毛見1437-218電話073-445-5311　ファックス073-446-0036,,,,http://www.pref.wakayama.lg.jp/prefg/040402/bus/fukusibus.html,,e0404021@pref.wakayama.lg.jp,
UIターン就農相談フェア,県内での新規就農や農業法人などへ就職を希望する方のための相談会,(1)和歌山市会場（先輩就農者体験発表有）,,2月25日（日）10:00～15:00,和歌山ビッグ愛（和歌山市）,,,,,,郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を(2)の体験・視察希望者のみ2月23日までに県就農支援センター　〒644-0024御坊市塩屋町南塩屋724電話0738-23-3488　ファックス0738-23-3489,,,,http://www.pref.wakayama.lg.jp/prefg/071601/sintyakujouhou/H29/h29_soudankaiyotei.html,,e0716011@pref.wakayama.lg.jp,
UIターン就農相談フェア,県内での新規就農や農業法人などへ就職を希望する方のための相談会,(2)御坊市会場（農業体験・現地視察有）,,3月11日（日）10:00～15:00,県就農支援センター（御坊市）,,体験・視察は10人（先着順）,,,,郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を(2)の体験・視察希望者のみ2月23日までに県就農支援センター　〒644-0024御坊市塩屋町南塩屋724電話0738-23-3488　ファックス0738-23-3489,,,,http://www.pref.wakayama.lg.jp/prefg/071601/sintyakujouhou/H29/h29_soudankaiyotei.html,,e0716011@pref.wakayama.lg.jp,
和歌山かがやき展,盲・ろう・支援学校と小・中学校の特別支援学級の児童生徒作品展,,,2月14～19日 10:00～17:00※14日は11:00から 19日は12:00まで,県民文化会館（和歌山市）,,,,,県立和歌山さくら支援学校 電話073-453-0303,,,,,,,,
語り合い広場?メディア・リテラシー入門?,ＣＭやネットを題材に男女共同参画の視点で情報を読み解く講座,,,2月25日（日）13:30～15:30,県男女共同参画センター（和歌山市）,,30人（先着順）,,,,郵送、電話、ファックス、Eメール、インターネット、来所で住所、氏名、電話番号を（一時保育希望者は2月15日までに）会場〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛9階電話073-435-5245　ファックス073-435-5247,,,,http://www.pref.wakayama.lg.jp/prefg/031501/kouzaevent/boshu/e17025.html,,libre@sirius.ocn.ne.jp,
消費者教育フォーラム,,,,3月11日（日）13:30～16:00,プラザホープ（和歌山市）,,200人（先着順）,,郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイト、各振興局総務県民課で配布）を2月16日までに県庁県民生活課,,,,,,http://www.pref.wakayama.lg.jp/prefg/031300/index.html,,,
熊野古道紀伊路ウォーキング,,,,3月25日（日）,春の道成寺コース（御坊市・日高町・日高川町）,中学生以下は保護者同伴,50人（先着順）,500円（保険料など）,ファックスで所定の申込書（申込先、WEBサイトで配布）を日高広域観光振興協議会（日高振興局企画産業課内）ファックス0738-24-3312,,,,,,http://www.pref.wakayama.lg.jp/prefg/130500/chiikisinnkoubu/kumanokodo.html,,,
南紀熊野ジオパークフェスタ,各種活動紹介や地元産品販売ブースなど、楽しみながらジオパークを知るイベント,,,2月17日（土）10:00～15:30,那智勝浦町体育文化会館,,,,,県庁自然環境室,,,,,http://nankikumanogeo.jp/,,,
音の杜コンサート,和歌山県新人演奏会出演者によるコンサート,,,2月25日（日）14:00～,県民文化会館（和歌山市）,,328人,"一般1,000円、高校生以下500円",,,電話、インターネットで会場〒640-8269和歌山市小松原通1-1電話073-436-1331　※各プレイガイドでも発売,,,,http://www.wacaf.or.jp/index.html,,,
地域猫対策セミナー,,,,(1)3月10日（土）13:30～16:00 (2)3月11日（日）10:00～12:30,(1)湯浅保健所(2)東牟婁振興局（新宮市）,地域猫対策を行っているボランティアの方・殺処分ゼロに向けた取り組みに興味のある方 ,各50人（先着順）,,,県庁食品・生活衛生課,,,,,http://www.pref.wakayama.lg.jp/prefg/031600/80_doubutsu/index.html,,,
クマノザクラ（仮称）現地説明会,新種の可能性がある「クマノザクラ（仮称）」に関する説明・標本木観察,,,3月18日（日）10:00～14:00,古座川町保健福祉センター,小学生以上（小学生は保護者同伴）,60人（先着順）,,,,郵送、ファックス、Eメールで住所、氏名、電話番号、性別、生年月日を2月28日までに県庁自然環境室ファックス073-433-3590,,,,http://www.pref.wakayama.lg.jp/prefg/032000/032500/,,e0320004@pref.wakayama.lg.jp ,
スポＧＯＭＩ大会参加チーム募集,制限時間内に決められたエリア内でゴミを拾い、質と量でポイントを競う,,,(1)3月10日(2)24日 いずれも土曜 9:30～12:00,(1)東牟婁振興局周辺（新宮市）(2)湯浅伝統的建造物群保存地区周辺（湯浅町）,,各20組100人（先着順）,,,,郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイト、有田・東牟婁振興局で配布）を2月23日までに県庁県民生活課 ファックス073-433-1771,,,,http://www.pref.wakayama.lg.jp/prefg/031300/cleanup.html,,e0313001@pref.wakayama.lg.jp,
ビジネスプランコンテストプレゼンテーション・表彰式,,,,2月24日（土）13:30～18:30,プラザホープ（和歌山市）,創業を考えている方、創業して間もない方など,100人（先着順）,"交流会は1,000円",,,郵送、ファックス、Eメール、インターネットで所定の申込書（申込先、WEBサイトで配布）を2月20日までに「創業支援セミナーinわかやま」事務局 〒640-8033和歌山市本町2-1 フォルテワジマ6階電話073-432-3412　ファックス073-432-3314,,,,http://www.yarukiouendan.jp/,,sogyo@yarukiouendan.jp,
 女性の健やかセミナー,乳がん、婦人科がん、更年期障害に関する講演,,,3月3日（土）14:00～15:30,フォルテワジマ（和歌山市）,,100人（先着順）,,,,電話、ファックス、Eメールで住所、氏名、年齢、電話番号、参加人数を3月2日までに県立医大産科・婦人科学講座電話073-441-0631 ファックス073-445-1161,,,,http://www.wakayama-med.ac.jp/,,sanpu1@wakayama-med.ac.jp,
県民のための公開講座（眼科）,テーマ：もっとしりたい、糖尿病網膜症の治療,,,3月3日（土）14:00～16:00,県立医大講堂（和歌山市）,,500人（先着順）,,,県立医大病院眼科電話073-441-0649,,,,,http://www.wakayama-med.ac.jp/,,,
最新の医療カンファランス,テーマ：(1)加齢による皮膚の変化と傷(2)からだの痛みと痛み止め,,,3月8日（木）14:00～16:00,県立医大図書館棟（和歌山市）,,100人（先着順）,,,県立医大生涯研修センター電話073-441-0789,,,,,http://www.wakayama-med.ac.jp/,,,
3・4月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,科目：(1)溶接加工科(2)住環境計画科(3)電気設備技術科(4)介護初級科(5)パソコン基礎科(6)OAパソコン基礎科(7)技能習得訓練科(8)介護訓練科（初級）（障害者対象）,,,(1)～(3)(8)和歌山市(4)和歌山市、田辺市(5)有田市、御坊市(6)御坊市(7)田辺市,,,,,ハローワーク（申込締切日あり）※詳しくはWEBサイトを要確認,,,,,http://wakayama-roudoukyoku.jsite.mhlw.go.jp/riyousha_mokuteki_menu/kyushokuchu/201712.html,,,
4月開始の職業訓練（国家資格等習得）受講生,国家資格や国家資格の受験資格を習得,科目：(1)介護福祉科(2)保育科(3)応用情報科(4)製菓衛生科,,,(1)和歌山市・広川町(2)～(4)和歌山市,,,,ハローワーク（申込締切日あり）,,,,,,http://wakayama-roudoukyoku.jsite.mhlw.go.jp/riyousha_mokuteki_menu/kyushokuchu/201712.html,,,
ふぉすた～サロン（保育士サロン）,保育士として再就職を検討されている方の意見交換の場,,,2月15日（木）10:00～11:00,和歌山ビッグ愛（和歌山市）,,,,,電話で住所、氏名、電話番号を県福祉人材センターハートワーク電話073-435-5211,,,,,https://www.sc.ouj.ac.jp/center/wakayama/,,,
放送大学 4月入学生,心理学・福祉・経済など幅広い分野を学べる通信制大学,,,,,18歳以上 ※教養学部の科目履修生・選科履修生は15歳以上,,,,電話、インターネットで3月1?20日までに放送大学和歌山学習センター電話073-431-0360,,,,,https://www.sc.ouj.ac.jp/center/wakayama/,,,
県営住宅委託管理人,委託期間：4月1日～平成31年3月31日委託料：月額17万5千円,,,,,県営住宅使用料の収納業務などに従事できる方（個人に限る）（選考）,県住宅供給公社管内(1)和歌山市及びその周辺(2)橋本市、かつらぎ町管内 各1人,,,,郵送、持参で所定の申込書（問合先で配布）を2月14日までに県庁建築住宅課,,,,http://www.pref.wakayama.lg.jp/prefg/080800/,,,
建築住宅課からのお知らせ,県木造住宅耐震診断士養成講習会,,,2月21日（水）,県民文化会館（和歌山市）,県内在住・在勤の建築士など,50人程度（先着順）,,,,郵送、ファックスで所定の申込書（申込先、WEBサイトで配布）を(1)2月13日(2)15日までに県庁建築住宅課 ファックス073-428-2038,,,,http://www.pref.wakayama.lg.jp/prefg/080800/,,,
建築住宅課からのお知らせ,県被災建築物応急危険度判定士認定講習会,地震による被災建築物の二次災害の危険度を判定する方を養成,,(1)2月20日（火）(2)22日（木）いずれも13:30～16:30,(1)情報交流センターBig・U（田辺市）(2)22日,県内在住・在勤の建築士など,(1)30人(2)60人（先着順）,,,,郵送、ファックスで所定の申込書（申込先、WEBサイトで配布）を(1)2月13日(2)15日までに県庁建築住宅課 ファックス073-428-2038,,,,http://www.pref.wakayama.lg.jp/prefg/080800/,,,
県農林大学校学生,試験,農学部,※省略,,,,,,,,,,,,,,,
白崎青少年の家 ,〒649-1123 由良町大引961-1電話0738-65-2351　ファックス0738-65-2352http://shirasaki.pya.jp/,白崎ヨガ教室,,3月4日（日）13:30～15:30,,高校生以上,：15人（先着順）,1000円,2月17日まで,,,,,,,,,
白崎青少年の家 ,〒649-1123 由良町大引961-1電話0738-65-2351　ファックス0738-65-2352http://shirasaki.pya.jp/,小学生だって卒業旅行,野外炊飯、野外活動、メモリアルクラフトなど,,,小学6年生2人以上のグループ,40人（先着順）,"4,000円?4,820円/人",2月24日まで,,,,,,,,,
紀北青少年の家,〒649-7112　かつらぎ町中飯降1317-3電話0736-22-5530　ファックス0736-22-5531http://www.kihokuseisyounen.com/ ,キャンプについて学び、活動を通じて参加者同士の親睦を深める,,3月10日（土）～11日（日）1泊2日,,,定員：親子 10組40人（先着順）,"1人 4,000円/人",2月24日まで,,,,,,,,,
潮岬青少年の家,〒649-3502　串本町潮岬669電話0735-62-6045　ファックス0735-62-0182http://omoshiro-yh.com/,おもしろらんど「春祭り」 ,地域住民の方と春祭りを開催。クラフト教室やフリーマーケットなど ,2月25日（日）10:00～16:00,,,,,,,,,,,,,,
